County,2020-04-07 00:00:00,2020-04-08 00:00:00,2020-04-09 00:00:00,2020-04-10 00:00:00,2020-04-11 00:00:00,2020-04-12 00:00:00,2020-04-13 00:00:00,2020-04-14 00:00:00,2020-04-15 00:00:00,2020-04-16 00:00:00,2020-04-17 00:00:00,2020-04-18 00:00:00,2020-04-19 00:00:00,2020-04-20 00:00:00,2020-04-21 00:00:00,2020-04-22 00:00:00,2020-04-23 00:00:00,2020-04-24 00:00:00,2020-04-25 00:00:00,2020-04-26 00:00:00,2020-04-27 00:00:00,2020-04-28 00:00:00,2020-04-29 00:00:00,2020-04-30 00:00:00,2020-05-01 00:00:00,2020-05-02 00:00:00,2020-05-03 00:00:00,2020-05-04 00:00:00,2020-05-05 00:00:00,2020-05-06 00:00:00,2020-05-07 00:00:00,2020-05-08 00:00:00,2020-05-09 00:00:00,2020-05-10 00:00:00,2020-05-11 00:00:00
Armstrong,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Briscoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Carson,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2
Castro,7,7,4,3,3,4,4,4,4,4,3,3,3,3,3,4,5,5,4,3,3,3,2,2,4,4,4,7,7,8,10,10,10,11,11
Childress,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
Collingsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4
Dallam,1,1,1,1,1,1,1,2,2,2,3,3,3,1,1,2,1,2,6,6,6,5,7,7,7,9,9,10,8,8,8,8,8,7,8
Deaf Smith,5,5,5,5,5,5,6,9,9,9,9,7,8,6,8,8,11,15,15,15,18,17,17,22,22,25,25,27,26,29,26,28,26,41,38
Donley,7,13,14,21,23,22,22,22,22,22,19,19,17,17,18,14,13,7,6,6,6,6,6,6,6,7,7,6,5,5,4,4,4,4,4
Gray,9,11,12,12,13,13,13,13,12,15,15,13,13,10,13,13,17,22,25,27,27,28,32,34,45,44,44,53,52,52,50,46,50,43,43
Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hansford,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,3,3,3,4,4,5,5,5,6,5,8,8,7,8,7,7,7
Hartley,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,4,4,4,4,4,5,5,5,4,5,4,3,2,3,3,3
Hemphill,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hutchinson,2,2,2,2,2,2,3,3,3,6,6,5,5,6,6,6,7,8,9,9,11,11,11,9,9,8,10,10,13,13,11,11,11,12,10
Lipscomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Moore,7,9,15,21,21,22,21,35,51,54,70,94,101,114,131,153,158,167,172,231,251,262,250,277,285,279,308,297,317,313,311,332,311,318,299
Ochiltree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,23,24,24,18,18,18,18,24,25,27,27,27,25,25
Oldham,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potter,38,44,55,56,62,65,64,73,69,77,82,89,108,115,126,140,165,172,230,276,283,341,375,431,497,608,684,729,787,787,834,887,834,951,934
Randall,35,39,50,54,56,60,57,66,66,64,74,75,78,83,82,84,90,88,100,115,123,136,145,150,167,189,201,207,224,219,235,245,235,250,246
Roberts,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
Sherman,0,0,0,0,0,0,0,0,0,4,6,7,7,7,7,9,10,10,11,12,14,14,14,12,12,11,12,12,12,11,11,12,11,13,12
Swisher,1,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,6,6,6,6,6,6,6,6,5,6,6,6,5,6,4,4
Wheeler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,5,7,7,7,8,9,9,11,11,11,11,11,10,10
