,Armstrong,Briscoe,Carson,Castro,Childress,Collingsworth,Dallam,Deaf Smith,Donley,Gray,Hall,Hansford,Hartley,Hemphill,Hutchinson,Lipscomb,Moore,Ochiltree,Oldham,Potter,Randall,Roberts,Sherman,Swisher,Wheeler
2020-04-07,0,0,0,7,0,0,1,5,7,9,0,1,0,1,2,0,7,0,2,38,35,0,0,1,0
2020-04-08,0,0,0,7,0,0,1,5,13,11,0,1,0,1,2,0,9,0,2,44,39,0,0,2,0
2020-04-09,0,0,0,4,0,0,1,5,14,12,0,1,0,1,2,0,15,0,2,55,50,0,0,2,0
2020-04-10,0,0,0,3,0,0,1,5,21,12,0,1,0,1,2,0,21,0,2,56,54,0,0,3,0
2020-04-11,0,0,0,3,0,0,1,5,23,13,0,1,0,1,2,0,21,0,2,62,56,0,0,3,0
2020-04-12,0,0,0,4,0,0,1,5,22,13,0,1,0,1,2,0,22,0,1,65,60,0,0,3,0
2020-04-13,0,0,0,4,0,0,1,6,22,13,0,1,0,1,3,0,21,0,1,64,57,0,0,3,0
2020-04-14,1,0,0,4,0,0,2,9,22,13,0,1,0,1,3,0,35,0,1,73,66,0,0,3,0
2020-04-15,1,0,0,4,0,0,2,9,22,12,0,1,0,1,3,0,51,0,1,69,66,0,0,3,0
2020-04-16,1,0,0,4,0,0,2,9,22,15,0,1,0,1,6,0,54,0,1,77,64,1,4,3,0
2020-04-17,1,0,0,3,0,0,3,9,19,15,0,1,0,1,6,0,70,0,1,82,74,1,6,3,0
2020-04-18,1,0,1,3,0,0,3,7,19,13,0,1,0,0,5,0,94,0,1,89,75,2,7,3,0
2020-04-19,1,0,1,3,1,0,3,8,17,13,0,1,0,0,5,0,101,0,1,108,78,2,7,3,0
2020-04-20,1,0,1,3,1,0,1,6,17,10,0,0,1,0,6,0,114,0,1,115,83,2,7,4,0
2020-04-21,1,0,1,3,1,0,1,8,18,13,0,0,1,0,6,0,131,0,0,126,82,2,7,4,0
2020-04-22,1,0,1,4,1,0,2,8,14,13,0,0,1,0,6,0,153,0,0,140,84,2,9,4,1
2020-04-23,1,0,1,5,1,0,1,11,13,17,0,1,2,0,7,0,158,0,0,165,90,2,10,4,1
2020-04-24,1,0,1,5,1,0,2,15,7,22,0,1,4,0,8,0,167,1,0,172,88,2,10,5,3
2020-04-25,2,0,1,4,1,0,6,15,6,25,0,3,4,0,9,0,172,4,0,230,100,2,11,5,3
2020-04-26,2,0,1,3,1,0,6,15,6,27,0,3,4,0,9,0,231,4,0,276,115,2,12,6,5
2020-04-27,2,0,1,3,1,0,6,18,6,27,0,3,4,0,11,0,251,4,0,283,123,2,14,6,5
2020-04-28,1,0,1,3,1,0,5,17,6,28,0,4,4,0,11,1,262,23,0,341,136,2,14,6,5
2020-04-29,1,0,2,2,1,0,7,17,6,32,0,4,4,0,11,2,250,24,0,375,145,2,14,6,7
2020-04-30,1,0,2,2,1,0,7,22,6,34,0,5,4,0,9,2,277,24,0,431,150,1,12,6,7
2020-05-01,1,0,2,4,1,0,7,22,6,45,0,5,5,0,9,2,285,18,0,497,167,1,12,6,7
2020-05-02,1,1,1,4,1,0,9,25,7,44,0,5,5,0,8,2,279,18,0,608,189,0,11,6,8
2020-05-03,1,1,2,4,0,0,9,25,7,44,0,6,5,0,10,2,308,18,0,684,201,0,12,6,9
2020-05-04,1,1,2,7,0,0,10,27,6,53,0,5,4,0,10,2,297,18,0,729,207,0,12,5,9
2020-05-05,1,1,2,7,0,1,8,26,5,52,0,8,5,0,13,2,317,24,0,787,224,0,12,6,11
2020-05-06,1,1,2,8,0,1,8,29,5,52,0,8,4,0,13,2,313,25,0,787,219,0,11,6,11
2020-05-07,1,1,2,10,0,1,8,26,4,50,0,7,3,0,11,2,311,27,0,834,235,0,11,6,11
2020-05-08,1,1,2,10,0,1,8,28,4,46,0,8,2,0,11,2,332,27,0,887,245,0,12,5,11
2020-05-09,1,1,2,10,0,1,8,26,4,50,0,7,3,0,11,2,311,27,0,834,235,0,11,6,11
2020-05-10,0,1,2,11,1,4,7,41,4,43,0,7,3,0,12,2,318,25,0,951,250,0,13,4,10
2020-05-11,0,1,2,11,1,4,8,38,4,43,0,7,3,0,10,2,299,25,0,934,246,0,12,4,10
